Metaphor	Image
"Sarah Palin's ""Drill, baby, drill"" policy, is being facilitated by Murkowski who is pushing legislation to drill in the Arctic National Wildlife Refuge."	C:/DataSet/SNLI/ImagesTest\image_58.jpg
"Sarah Palin's ""Drill, baby, drill"" policy, is being facilitated by Murkowski who is pushing legislation to drill in the Arctic National Wildlife Refuge."	C:/DataSet/SNLI/ImagesTest\image_59.jpg
"Sarah Palin's ""Drill, baby, drill"" policy, is being facilitated by Murkowski who is pushing legislation to drill in the Arctic National Wildlife Refuge."	C:/DataSet/SNLI/ImagesTest\image_60.jpg
"Sarah Palin's ""Drill, baby, drill"" policy, is being facilitated by Murkowski who is pushing legislation to drill in the Arctic National Wildlife Refuge."	C:/DataSet/SNLI/ImagesTest\image_61.jpg
"Sarah Palin's ""Drill, baby, drill"" policy, is being facilitated by Murkowski who is pushing legislation to drill in the Arctic National Wildlife Refuge."	C:/DataSet/SNLI/ImagesTest\image_62.jpg
"Sarah Palin's ""Drill, baby, drill"" policy, is being facilitated by Murkowski who is pushing legislation to drill in the Arctic National Wildlife Refuge."	C:/DataSet/SNLI/ImagesTest\image_63.jpg
"Sarah Palin's ""Drill, baby, drill"" policy, is being facilitated by Murkowski who is pushing legislation to drill in the Arctic National Wildlife Refuge."	C:/DataSet/SNLI/ImagesTest\image_64.jpg
Her face is contorted into a painful expression, with her muscles contracting and relaxing rapidly.	C:/DataSet/SNLI/ImagesTest\image_65.jpg
Her face is contorted into a painful expression, with her muscles contracting and relaxing rapidly.	C:/DataSet/SNLI/ImagesTest\image_66.jpg
His boss loudly expressed anger and frustration upon learning of the secretary's resignation.	C:/DataSet/SNLI/ImagesTest\image_67.jpg
His boss loudly expressed anger and frustration upon learning of the secretary's resignation.	C:/DataSet/SNLI/ImagesTest\image_68.jpg
His boss loudly expressed anger and frustration upon learning of the secretary's resignation.	C:/DataSet/SNLI/ImagesTest\image_69.jpg
His boss loudly expressed anger and frustration upon learning of the secretary's resignation.	C:/DataSet/SNLI/ImagesTest\image_70.jpg
A melted popsicle on a warm day is a mixture of flavored water and sugar that has undergone a phase change to a liquid state due to heat.	C:/DataSet/SNLI/ImagesTest\image_71.jpg
A melted popsicle on a warm day is a mixture of flavored water and sugar that has undergone a phase change to a liquid state due to heat.	C:/DataSet/SNLI/ImagesTest\image_72.jpg
A melted popsicle on a warm day is a mixture of flavored water and sugar that has undergone a phase change to a liquid state due to heat.	C:/DataSet/SNLI/ImagesTest\image_73.jpg
A melted popsicle on a warm day is a mixture of flavored water and sugar that has undergone a phase change to a liquid state due to heat.	C:/DataSet/SNLI/ImagesTest\image_74.jpg
Life is fleeting and illusory.	C:/DataSet/SNLI/ImagesTest\image_75.jpg
Life is fleeting and illusory.	C:/DataSet/SNLI/ImagesTest\image_76.jpg
Life is fleeting and illusory.	C:/DataSet/SNLI/ImagesTest\image_77.jpg
Life is fleeting and illusory.	C:/DataSet/SNLI/ImagesTest\image_78.jpg
The patient was tense but remained calm and collected like a soldier temporarily finding peace in the midst of warfare and danger.	C:/DataSet/SNLI/ImagesTest\image_79.jpg
Julia was a pizza with condescending toppings and I was on a diet.	C:/DataSet/SNLI/ImagesTest\image_80.jpg
Julia was a pizza with condescending toppings and I was on a diet.	C:/DataSet/SNLI/ImagesTest\image_81.jpg
Julia was a pizza with condescending toppings and I was on a diet.	C:/DataSet/SNLI/ImagesTest\image_82.jpg
Julia was a pizza with condescending toppings and I was on a diet.	C:/DataSet/SNLI/ImagesTest\image_83.jpg
When they spoke of it, it sounded like an attractive force, pulling and demanding their attention.	C:/DataSet/SNLI/ImagesTest\image_84.jpg
When they spoke of it, it sounded like an attractive force, pulling and demanding their attention.	C:/DataSet/SNLI/ImagesTest\image_85.jpg
When they spoke of it, it sounded like an attractive force, pulling and demanding their attention.	C:/DataSet/SNLI/ImagesTest\image_86.jpg
The faculty meeting was efficiently and successfully completed in a timely manner without any issues, complications, or obstacles.	C:/DataSet/SNLI/ImagesTest\image_87.jpg
The faculty meeting was efficiently and successfully completed in a timely manner without any issues, complications, or obstacles.	C:/DataSet/SNLI/ImagesTest\image_88.jpg
The faculty meeting was efficiently and successfully completed in a timely manner without any issues, complications, or obstacles.	C:/DataSet/SNLI/ImagesTest\image_89.jpg
The faculty meeting was efficiently and successfully completed in a timely manner without any issues, complications, or obstacles.	C:/DataSet/SNLI/ImagesTest\image_90.jpg
The faculty meeting was efficiently and successfully completed in a timely manner without any issues, complications, or obstacles.	C:/DataSet/SNLI/ImagesTest\image_91.jpg
The faculty meeting was efficiently and successfully completed in a timely manner without any issues, complications, or obstacles.	C:/DataSet/SNLI/ImagesTest\image_92.jpg
The faculty meeting was efficiently and successfully completed in a timely manner without any issues, complications, or obstacles.	C:/DataSet/SNLI/ImagesTest\image_93.jpg
The faculty meeting was efficiently and successfully completed in a timely manner without any issues, complications, or obstacles.	C:/DataSet/SNLI/ImagesTest\image_94.jpg
The faculty meeting was efficiently and successfully completed in a timely manner without any issues, complications, or obstacles.	C:/DataSet/SNLI/ImagesTest\image_95.jpg
The faculty meeting was efficiently and successfully completed in a timely manner without any issues, complications, or obstacles.	C:/DataSet/SNLI/ImagesTest\image_96.jpg
The faculty meeting was efficiently and successfully completed in a timely manner without any issues, complications, or obstacles.	C:/DataSet/SNLI/ImagesTest\image_97.jpg
The faculty meeting was efficiently and successfully completed in a timely manner without any issues, complications, or obstacles.	C:/DataSet/SNLI/ImagesTest\image_98.jpg
The faculty meeting was efficiently and successfully completed in a timely manner without any issues, complications, or obstacles.	C:/DataSet/SNLI/ImagesTest\image_99.jpg
The faculty meeting was efficiently and successfully completed in a timely manner without any issues, complications, or obstacles.	C:/DataSet/SNLI/ImagesTest\image_100.jpg
The faculty meeting was efficiently and successfully completed in a timely manner without any issues, complications, or obstacles.	C:/DataSet/SNLI/ImagesTest\image_101.jpg
The faculty meeting was efficiently and successfully completed in a timely manner without any issues, complications, or obstacles.	C:/DataSet/SNLI/ImagesTest\image_102.jpg
People are like fixtures in that they may be present but they are not research subjects and they may be associated with the mundane and boring.	C:/DataSet/SNLI/ImagesTest\image_103.jpg
People are like fixtures in that they may be present but they are not research subjects and they may be associated with the mundane and boring.	C:/DataSet/SNLI/ImagesTest\image_104.jpg
An avalanche destroyed anything in its path as it moved forward.	C:/DataSet/SNLI/ImagesTest\image_105.jpg
A person could not get up because they were weak, perhaps from fatigue or illness.	C:/DataSet/SNLI/ImagesTest\image_106.jpg
A person could not get up because they were weak, perhaps from fatigue or illness.	C:/DataSet/SNLI/ImagesTest\image_107.jpg
A person could not get up because they were weak, perhaps from fatigue or illness.	C:/DataSet/SNLI/ImagesTest\image_108.jpg
A person could not get up because they were weak, perhaps from fatigue or illness.	C:/DataSet/SNLI/ImagesTest\image_109.jpg
Please provide an objective and unbiased confirmation that this claim is accurate, with no room for misinterpretation.	C:/DataSet/SNLI/ImagesTest\image_110.jpg
Please provide an objective and unbiased confirmation that this claim is accurate, with no room for misinterpretation.	C:/DataSet/SNLI/ImagesTest\image_111.jpg
Please provide an objective and unbiased confirmation that this claim is accurate, with no room for misinterpretation.	C:/DataSet/SNLI/ImagesTest\image_112.jpg
Please provide an objective and unbiased confirmation that this claim is accurate, with no room for misinterpretation.	C:/DataSet/SNLI/ImagesTest\image_113.jpg
Please provide an objective and unbiased confirmation that this claim is accurate, with no room for misinterpretation.	C:/DataSet/SNLI/ImagesTest\image_114.jpg
Please provide an objective and unbiased confirmation that this claim is accurate, with no room for misinterpretation.	C:/DataSet/SNLI/ImagesTest\image_115.jpg
Please provide an objective and unbiased confirmation that this claim is accurate, with no room for misinterpretation.	C:/DataSet/SNLI/ImagesTest\image_116.jpg
Please provide an objective and unbiased confirmation that this claim is accurate, with no room for misinterpretation.	C:/DataSet/SNLI/ImagesTest\image_117.jpg
Please provide an objective and unbiased confirmation that this claim is accurate, with no room for misinterpretation.	C:/DataSet/SNLI/ImagesTest\image_118.jpg
Please provide an objective and unbiased confirmation that this claim is accurate, with no room for misinterpretation.	C:/DataSet/SNLI/ImagesTest\image_119.jpg
Please provide an objective and unbiased confirmation that this claim is accurate, with no room for misinterpretation.	C:/DataSet/SNLI/ImagesTest\image_120.jpg
Please provide an objective and unbiased confirmation that this claim is accurate, with no room for misinterpretation.	C:/DataSet/SNLI/ImagesTest\image_121.jpg
He was a creature that hunted and thrived in the jungle.	C:/DataSet/SNLI/ImagesTest\image_122.jpg
He was a creature that hunted and thrived in the jungle.	C:/DataSet/SNLI/ImagesTest\image_123.jpg
He was a creature that hunted and thrived in the jungle.	C:/DataSet/SNLI/ImagesTest\image_124.jpg
He was a creature that hunted and thrived in the jungle.	C:/DataSet/SNLI/ImagesTest\image_125.jpg
A room that is utilitarian with fluorescent lighting, bare walls, and a heavy table with a single chair on either side for the purpose of an interview or discussion that is serious in nature.	C:/DataSet/SNLI/ImagesTest\image_126.jpg
A room that is utilitarian with fluorescent lighting, bare walls, and a heavy table with a single chair on either side for the purpose of an interview or discussion that is serious in nature.	C:/DataSet/SNLI/ImagesTest\image_127.jpg
A room that is utilitarian with fluorescent lighting, bare walls, and a heavy table with a single chair on either side for the purpose of an interview or discussion that is serious in nature.	C:/DataSet/SNLI/ImagesTest\image_128.jpg
A room that is utilitarian with fluorescent lighting, bare walls, and a heavy table with a single chair on either side for the purpose of an interview or discussion that is serious in nature.	C:/DataSet/SNLI/ImagesTest\image_129.jpg
The house, comparing favorably with a beautiful sunset, is aesthetically pleasing.	C:/DataSet/SNLI/ImagesTest\image_130.jpg
The house, comparing favorably with a beautiful sunset, is aesthetically pleasing.	C:/DataSet/SNLI/ImagesTest\image_131.jpg
The house, comparing favorably with a beautiful sunset, is aesthetically pleasing.	C:/DataSet/SNLI/ImagesTest\image_132.jpg
The house, comparing favorably with a beautiful sunset, is aesthetically pleasing.	C:/DataSet/SNLI/ImagesTest\image_133.jpg
The employee contemplates whether to speak about the feelings of anger induced by an occurrence, and decides to refrain from doing so.	C:/DataSet/SNLI/ImagesTest\image_134.jpg
The employee contemplates whether to speak about the feelings of anger induced by an occurrence, and decides to refrain from doing so.	C:/DataSet/SNLI/ImagesTest\image_135.jpg
The employee contemplates whether to speak about the feelings of anger induced by an occurrence, and decides to refrain from doing so.	C:/DataSet/SNLI/ImagesTest\image_136.jpg
The employee contemplates whether to speak about the feelings of anger induced by an occurrence, and decides to refrain from doing so.	C:/DataSet/SNLI/ImagesTest\image_137.jpg
The alarm sounded very loud and disruptive to the morning routine when it went off this morning.	C:/DataSet/SNLI/ImagesTest\image_138.jpg
The alarm sounded very loud and disruptive to the morning routine when it went off this morning.	C:/DataSet/SNLI/ImagesTest\image_139.jpg
The alarm sounded very loud and disruptive to the morning routine when it went off this morning.	C:/DataSet/SNLI/ImagesTest\image_140.jpg
The alarm sounded very loud and disruptive to the morning routine when it went off this morning.	C:/DataSet/SNLI/ImagesTest\image_141.jpg
The value of the dollar has decreased over time, referring to the process of inflation, which 'dried' out the dollar.	C:/DataSet/SNLI/ImagesTest\image_142.jpg
The value of the dollar has decreased over time, referring to the process of inflation, which 'dried' out the dollar.	C:/DataSet/SNLI/ImagesTest\image_143.jpg
The value of the dollar has decreased over time, referring to the process of inflation, which 'dried' out the dollar.	C:/DataSet/SNLI/ImagesTest\image_144.jpg
The value of the dollar has decreased over time, referring to the process of inflation, which 'dried' out the dollar.	C:/DataSet/SNLI/ImagesTest\image_145.jpg
Underlying illumination gradually emerges and unfolds outwards. 	C:/DataSet/SNLI/ImagesTest\image_146.jpg
Underlying illumination gradually emerges and unfolds outwards. 	C:/DataSet/SNLI/ImagesTest\image_147.jpg
Underlying illumination gradually emerges and unfolds outwards. 	C:/DataSet/SNLI/ImagesTest\image_148.jpg
Underlying illumination gradually emerges and unfolds outwards. 	C:/DataSet/SNLI/ImagesTest\image_149.jpg
My emotions were uncharted waters and she was a storm. 	C:/DataSet/SNLI/ImagesTest\image_150.jpg
My emotions were uncharted waters and she was a storm. 	C:/DataSet/SNLI/ImagesTest\image_151.jpg
This other world resembles a secretive and obscure group, existing in the shadows and keeping its activities and beliefs hidden from the public.	C:/DataSet/SNLI/ImagesTest\image_152.jpg
This other world resembles a secretive and obscure group, existing in the shadows and keeping its activities and beliefs hidden from the public.	C:/DataSet/SNLI/ImagesTest\image_153.jpg
This other world resembles a secretive and obscure group, existing in the shadows and keeping its activities and beliefs hidden from the public.	C:/DataSet/SNLI/ImagesTest\image_154.jpg
This other world resembles a secretive and obscure group, existing in the shadows and keeping its activities and beliefs hidden from the public.	C:/DataSet/SNLI/ImagesTest\image_155.jpg
When a thought forms in your mind, you perceive it as a bright and clear day.	C:/DataSet/SNLI/ImagesTest\image_156.jpg
When a thought forms in your mind, you perceive it as a bright and clear day.	C:/DataSet/SNLI/ImagesTest\image_157.jpg
When a thought forms in your mind, you perceive it as a bright and clear day.	C:/DataSet/SNLI/ImagesTest\image_158.jpg
When a thought forms in your mind, you perceive it as a bright and clear day.	C:/DataSet/SNLI/ImagesTest\image_159.jpg
She was engulfed in darkness, as if it had material substance, and it enveloped her like a blanket. 	C:/DataSet/SNLI/ImagesTest\image_160.jpg
She was engulfed in darkness, as if it had material substance, and it enveloped her like a blanket. 	C:/DataSet/SNLI/ImagesTest\image_161.jpg
The faculty meeting was characterized by a prolonged period of intense conflict, where members engaged in verbal battles using forceful rhetoric and argumentative tactics to dominate discussions and defend their positions, resulting in a tense and unproductive atmosphere. 	C:/DataSet/SNLI/ImagesTest\image_162.jpg
The faculty meeting was characterized by a prolonged period of intense conflict, where members engaged in verbal battles using forceful rhetoric and argumentative tactics to dominate discussions and defend their positions, resulting in a tense and unproductive atmosphere. 	C:/DataSet/SNLI/ImagesTest\image_163.jpg
The faculty meeting was characterized by a prolonged period of intense conflict, where members engaged in verbal battles using forceful rhetoric and argumentative tactics to dominate discussions and defend their positions, resulting in a tense and unproductive atmosphere. 	C:/DataSet/SNLI/ImagesTest\image_164.jpg
The faculty meeting was characterized by a prolonged period of intense conflict, where members engaged in verbal battles using forceful rhetoric and argumentative tactics to dominate discussions and defend their positions, resulting in a tense and unproductive atmosphere. 	C:/DataSet/SNLI/ImagesTest\image_165.jpg
The faculty meeting was characterized by a prolonged period of intense conflict, where members engaged in verbal battles using forceful rhetoric and argumentative tactics to dominate discussions and defend their positions, resulting in a tense and unproductive atmosphere. 	C:/DataSet/SNLI/ImagesTest\image_166.jpg
The faculty meeting was characterized by a prolonged period of intense conflict, where members engaged in verbal battles using forceful rhetoric and argumentative tactics to dominate discussions and defend their positions, resulting in a tense and unproductive atmosphere. 	C:/DataSet/SNLI/ImagesTest\image_167.jpg
The faculty meeting was characterized by a prolonged period of intense conflict, where members engaged in verbal battles using forceful rhetoric and argumentative tactics to dominate discussions and defend their positions, resulting in a tense and unproductive atmosphere. 	C:/DataSet/SNLI/ImagesTest\image_168.jpg
The faculty meeting was characterized by a prolonged period of intense conflict, where members engaged in verbal battles using forceful rhetoric and argumentative tactics to dominate discussions and defend their positions, resulting in a tense and unproductive atmosphere. 	C:/DataSet/SNLI/ImagesTest\image_169.jpg
The faculty meeting was characterized by a prolonged period of intense conflict, where members engaged in verbal battles using forceful rhetoric and argumentative tactics to dominate discussions and defend their positions, resulting in a tense and unproductive atmosphere. 	C:/DataSet/SNLI/ImagesTest\image_170.jpg
The faculty meeting was characterized by a prolonged period of intense conflict, where members engaged in verbal battles using forceful rhetoric and argumentative tactics to dominate discussions and defend their positions, resulting in a tense and unproductive atmosphere. 	C:/DataSet/SNLI/ImagesTest\image_171.jpg
The faculty meeting was characterized by a prolonged period of intense conflict, where members engaged in verbal battles using forceful rhetoric and argumentative tactics to dominate discussions and defend their positions, resulting in a tense and unproductive atmosphere. 	C:/DataSet/SNLI/ImagesTest\image_172.jpg
The faculty meeting was characterized by a prolonged period of intense conflict, where members engaged in verbal battles using forceful rhetoric and argumentative tactics to dominate discussions and defend their positions, resulting in a tense and unproductive atmosphere. 	C:/DataSet/SNLI/ImagesTest\image_173.jpg
The faculty meeting was characterized by a prolonged period of intense conflict, where members engaged in verbal battles using forceful rhetoric and argumentative tactics to dominate discussions and defend their positions, resulting in a tense and unproductive atmosphere. 	C:/DataSet/SNLI/ImagesTest\image_174.jpg
The faculty meeting was characterized by a prolonged period of intense conflict, where members engaged in verbal battles using forceful rhetoric and argumentative tactics to dominate discussions and defend their positions, resulting in a tense and unproductive atmosphere. 	C:/DataSet/SNLI/ImagesTest\image_175.jpg
The faculty meeting was characterized by a prolonged period of intense conflict, where members engaged in verbal battles using forceful rhetoric and argumentative tactics to dominate discussions and defend their positions, resulting in a tense and unproductive atmosphere. 	C:/DataSet/SNLI/ImagesTest\image_176.jpg
The faculty meeting was characterized by a prolonged period of intense conflict, where members engaged in verbal battles using forceful rhetoric and argumentative tactics to dominate discussions and defend their positions, resulting in a tense and unproductive atmosphere. 	C:/DataSet/SNLI/ImagesTest\image_177.jpg
Doing something speaks more loudly than mere words.	C:/DataSet/SNLI/ImagesTest\image_178.jpg
Doing something speaks more loudly than mere words.	C:/DataSet/SNLI/ImagesTest\image_179.jpg
Doing something speaks more loudly than mere words.	C:/DataSet/SNLI/ImagesTest\image_180.jpg
Doing something speaks more loudly than mere words.	C:/DataSet/SNLI/ImagesTest\image_181.jpg
Doing something speaks more loudly than mere words.	C:/DataSet/SNLI/ImagesTest\image_182.jpg
Doing something speaks more loudly than mere words.	C:/DataSet/SNLI/ImagesTest\image_183.jpg
Doing something speaks more loudly than mere words.	C:/DataSet/SNLI/ImagesTest\image_184.jpg
Doing something speaks more loudly than mere words.	C:/DataSet/SNLI/ImagesTest\image_185.jpg
Doing something speaks more loudly than mere words.	C:/DataSet/SNLI/ImagesTest\image_186.jpg
Doing something speaks more loudly than mere words.	C:/DataSet/SNLI/ImagesTest\image_187.jpg
Doing something speaks more loudly than mere words.	C:/DataSet/SNLI/ImagesTest\image_188.jpg
Doing something speaks more loudly than mere words.	C:/DataSet/SNLI/ImagesTest\image_189.jpg
His bandages stopped his bleeding, but at the same time, they absorbed so much rainwater that his every movement made a squeaking noise, much like a rusty wagon on a bumpy road.	C:/DataSet/SNLI/ImagesTest\image_190.jpg
A tool for fishing, with pointed tips, was utilized in an aquatic environment, which was also home to lightning.	C:/DataSet/SNLI/ImagesTest\image_191.jpg
A tool for fishing, with pointed tips, was utilized in an aquatic environment, which was also home to lightning.	C:/DataSet/SNLI/ImagesTest\image_192.jpg
A tool for fishing, with pointed tips, was utilized in an aquatic environment, which was also home to lightning.	C:/DataSet/SNLI/ImagesTest\image_193.jpg
A tool for fishing, with pointed tips, was utilized in an aquatic environment, which was also home to lightning.	C:/DataSet/SNLI/ImagesTest\image_194.jpg
You chop onions in a world where tears are like Anthrax exposure.	C:/DataSet/SNLI/ImagesTest\image_195.jpg
You chop onions in a world where tears are like Anthrax exposure.	C:/DataSet/SNLI/ImagesTest\image_196.jpg
David is an organism that is elongated and resembles a cylinder, with a head and mouth, that is capable of movement by consuming food, and that belongs to the phylum Annelida, in reference to the harmful action that David took towards Shelia.	C:/DataSet/SNLI/ImagesTest\image_197.jpg
David is an organism that is elongated and resembles a cylinder, with a head and mouth, that is capable of movement by consuming food, and that belongs to the phylum Annelida, in reference to the harmful action that David took towards Shelia.	C:/DataSet/SNLI/ImagesTest\image_198.jpg
David is an organism that is elongated and resembles a cylinder, with a head and mouth, that is capable of movement by consuming food, and that belongs to the phylum Annelida, in reference to the harmful action that David took towards Shelia.	C:/DataSet/SNLI/ImagesTest\image_199.jpg
David is an organism that is elongated and resembles a cylinder, with a head and mouth, that is capable of movement by consuming food, and that belongs to the phylum Annelida, in reference to the harmful action that David took towards Shelia.	C:/DataSet/SNLI/ImagesTest\image_200.jpg
The dancer was moving in a fluid and elegant manner, resembling a bird gliding through the air with ease and precision.	C:/DataSet/SNLI/ImagesTest\image_201.jpg
The dancer was moving in a fluid and elegant manner, resembling a bird gliding through the air with ease and precision.	C:/DataSet/SNLI/ImagesTest\image_202.jpg
The dancer was moving in a fluid and elegant manner, resembling a bird gliding through the air with ease and precision.	C:/DataSet/SNLI/ImagesTest\image_203.jpg
The dancer was moving in a fluid and elegant manner, resembling a bird gliding through the air with ease and precision.	C:/DataSet/SNLI/ImagesTest\image_204.jpg
The road is long and lasts indefinitely until the end is reached.	C:/DataSet/SNLI/ImagesTest\image_205.jpg
The road is long and lasts indefinitely until the end is reached.	C:/DataSet/SNLI/ImagesTest\image_206.jpg
The road is long and lasts indefinitely until the end is reached.	C:/DataSet/SNLI/ImagesTest\image_207.jpg
He is beginning to feel like a person that does not belong to any group or community, or a person that is an outsider.	C:/DataSet/SNLI/ImagesTest\image_208.jpg
