Metaphor,Image
He kept us in the dark about his plans,C:/DataSet/SNLI/ImagesDev\image_113.jpg
He kept us in the dark about his plans,C:/DataSet/SNLI/ImagesDev\image_114.jpg
He kept us in the dark about his plans,C:/DataSet/SNLI/ImagesDev\image_115.jpg
He kept us in the dark about his plans,C:/DataSet/SNLI/ImagesDev\image_116.jpg
He kept us in the dark about his plans,C:/DataSet/SNLI/ImagesDev\image_117.jpg
He kept us in the dark about his plans,C:/DataSet/SNLI/ImagesDev\image_118.jpg
He kept us in the dark about his plans,C:/DataSet/SNLI/ImagesDev\image_119.jpg
He kept us in the dark about his plans,C:/DataSet/SNLI/ImagesDev\image_120.jpg
He kept us in the dark about his plans,C:/DataSet/SNLI/ImagesDev\image_121.jpg
He kept us in the dark about his plans,C:/DataSet/SNLI/ImagesDev\image_122.jpg
He kept us in the dark about his plans,C:/DataSet/SNLI/ImagesDev\image_123.jpg
He kept us in the dark about his plans,C:/DataSet/SNLI/ImagesDev\image_124.jpg
He kept us in the dark about his plans,C:/DataSet/SNLI/ImagesDev\image_125.jpg
Katie’s plan to get into college was a house of cards on a crooked table.,C:/DataSet/SNLI/ImagesDev\image_126.jpg
Katie’s plan to get into college was a house of cards on a crooked table.,C:/DataSet/SNLI/ImagesDev\image_127.jpg
Katie’s plan to get into college was a house of cards on a crooked table.,C:/DataSet/SNLI/ImagesDev\image_128.jpg
Katie’s plan to get into college was a house of cards on a crooked table.,C:/DataSet/SNLI/ImagesDev\image_129.jpg
Death is knocking at the door.,C:/DataSet/SNLI/ImagesDev\image_130.jpg
Death is knocking at the door.,C:/DataSet/SNLI/ImagesDev\image_131.jpg
Death is knocking at the door.,C:/DataSet/SNLI/ImagesDev\image_132.jpg
Death is knocking at the door.,C:/DataSet/SNLI/ImagesDev\image_133.jpg
She was like a kitten in a den of coyotes.,C:/DataSet/SNLI/ImagesDev\image_134.jpg
She was like a kitten in a den of coyotes.,C:/DataSet/SNLI/ImagesDev\image_135.jpg
She was like a kitten in a den of coyotes.,C:/DataSet/SNLI/ImagesDev\image_136.jpg
"He knew tommy was alright, in love and like a clam in wet mud.",C:/DataSet/SNLI/ImagesDev\image_137.jpg
"He knew tommy was alright, in love and like a clam in wet mud.",C:/DataSet/SNLI/ImagesDev\image_138.jpg
"He knew tommy was alright, in love and like a clam in wet mud.",C:/DataSet/SNLI/ImagesDev\image_139.jpg
"He knew tommy was alright, in love and like a clam in wet mud.",C:/DataSet/SNLI/ImagesDev\image_140.jpg
The company dumped him after many years of service.,C:/DataSet/SNLI/ImagesDev\image_141.jpg
The company dumped him after many years of service.,C:/DataSet/SNLI/ImagesDev\image_142.jpg
The company dumped him after many years of service.,C:/DataSet/SNLI/ImagesDev\image_143.jpg
The company dumped him after many years of service.,C:/DataSet/SNLI/ImagesDev\image_144.jpg
"She glided to him, like a ballet dancer.",C:/DataSet/SNLI/ImagesDev\image_145.jpg
"She glided to him, like a ballet dancer.",C:/DataSet/SNLI/ImagesDev\image_146.jpg
"She glided to him, like a ballet dancer.",C:/DataSet/SNLI/ImagesDev\image_147.jpg
"She glided to him, like a ballet dancer.",C:/DataSet/SNLI/ImagesDev\image_148.jpg
She spins like a suspended ballerina .,C:/DataSet/SNLI/ImagesDev\image_149.jpg
She spins like a suspended ballerina .,C:/DataSet/SNLI/ImagesDev\image_150.jpg
She spins like a suspended ballerina .,C:/DataSet/SNLI/ImagesDev\image_151.jpg
She spins like a suspended ballerina .,C:/DataSet/SNLI/ImagesDev\image_152.jpg
"Joanna, you disagree? Okay, shoot!",C:/DataSet/SNLI/ImagesDev\image_153.jpg
"Joanna, you disagree? Okay, shoot!",C:/DataSet/SNLI/ImagesDev\image_154.jpg
"Joanna, you disagree? Okay, shoot!",C:/DataSet/SNLI/ImagesDev\image_155.jpg
Her face glowed when she came out of the sauna.,C:/DataSet/SNLI/ImagesDev\image_156.jpg
Her face glowed when she came out of the sauna.,C:/DataSet/SNLI/ImagesDev\image_157.jpg
Her face glowed when she came out of the sauna.,C:/DataSet/SNLI/ImagesDev\image_158.jpg
Her face glowed when she came out of the sauna.,C:/DataSet/SNLI/ImagesDev\image_159.jpg
He always had an interest for the fruit of knowledge.,C:/DataSet/SNLI/ImagesDev\image_160.jpg
He always had an interest for the fruit of knowledge.,C:/DataSet/SNLI/ImagesDev\image_161.jpg
He always had an interest for the fruit of knowledge.,C:/DataSet/SNLI/ImagesDev\image_162.jpg
He always had an interest for the fruit of knowledge.,C:/DataSet/SNLI/ImagesDev\image_163.jpg
"I held my breath, waiting for what my gaze would fall upon, and I almost shrieked as I stared at his head, bald like a lamp post.",C:/DataSet/SNLI/ImagesDev\image_164.jpg
"I held my breath, waiting for what my gaze would fall upon, and I almost shrieked as I stared at his head, bald like a lamp post.",C:/DataSet/SNLI/ImagesDev\image_165.jpg
"I held my breath, waiting for what my gaze would fall upon, and I almost shrieked as I stared at his head, bald like a lamp post.",C:/DataSet/SNLI/ImagesDev\image_166.jpg
He is as brave as a cow,C:/DataSet/SNLI/ImagesDev\image_167.jpg
We still ignore how the seed of life was planted on our planet,C:/DataSet/SNLI/ImagesDev\image_168.jpg
We still ignore how the seed of life was planted on our planet,C:/DataSet/SNLI/ImagesDev\image_169.jpg
We still ignore how the seed of life was planted on our planet,C:/DataSet/SNLI/ImagesDev\image_170.jpg
We still ignore how the seed of life was planted on our planet,C:/DataSet/SNLI/ImagesDev\image_171.jpg
We still ignore how the seed of life was planted on our planet,C:/DataSet/SNLI/ImagesDev\image_172.jpg
We still ignore how the seed of life was planted on our planet,C:/DataSet/SNLI/ImagesDev\image_173.jpg
We still ignore how the seed of life was planted on our planet,C:/DataSet/SNLI/ImagesDev\image_174.jpg
We still ignore how the seed of life was planted on our planet,C:/DataSet/SNLI/ImagesDev\image_175.jpg
We still ignore how the seed of life was planted on our planet,C:/DataSet/SNLI/ImagesDev\image_176.jpg
We still ignore how the seed of life was planted on our planet,C:/DataSet/SNLI/ImagesDev\image_177.jpg
We still ignore how the seed of life was planted on our planet,C:/DataSet/SNLI/ImagesDev\image_178.jpg
We still ignore how the seed of life was planted on our planet,C:/DataSet/SNLI/ImagesDev\image_179.jpg
We still ignore how the seed of life was planted on our planet,C:/DataSet/SNLI/ImagesDev\image_180.jpg
We still ignore how the seed of life was planted on our planet,C:/DataSet/SNLI/ImagesDev\image_181.jpg
We still ignore how the seed of life was planted on our planet,C:/DataSet/SNLI/ImagesDev\image_182.jpg
We still ignore how the seed of life was planted on our planet,C:/DataSet/SNLI/ImagesDev\image_183.jpg
That is why it is so important to remain like a planted oak,C:/DataSet/SNLI/ImagesDev\image_184.jpg
That is why it is so important to remain like a planted oak,C:/DataSet/SNLI/ImagesDev\image_185.jpg
That is why it is so important to remain like a planted oak,C:/DataSet/SNLI/ImagesDev\image_186.jpg
That is why it is so important to remain like a planted oak,C:/DataSet/SNLI/ImagesDev\image_187.jpg
The seeds of change were planted in 1943,C:/DataSet/SNLI/ImagesDev\image_188.jpg
The seeds of change were planted in 1943,C:/DataSet/SNLI/ImagesDev\image_189.jpg
The seeds of change were planted in 1943,C:/DataSet/SNLI/ImagesDev\image_190.jpg
The seeds of change were planted in 1943,C:/DataSet/SNLI/ImagesDev\image_191.jpg
The seeds of change were planted in 1943,C:/DataSet/SNLI/ImagesDev\image_192.jpg
The seeds of change were planted in 1943,C:/DataSet/SNLI/ImagesDev\image_193.jpg
The seeds of change were planted in 1943,C:/DataSet/SNLI/ImagesDev\image_194.jpg
The seeds of change were planted in 1943,C:/DataSet/SNLI/ImagesDev\image_195.jpg
The valor landed like a mosquito on a bare arm,C:/DataSet/SNLI/ImagesDev\image_196.jpg
The valor landed like a mosquito on a bare arm,C:/DataSet/SNLI/ImagesDev\image_197.jpg
The valor landed like a mosquito on a bare arm,C:/DataSet/SNLI/ImagesDev\image_198.jpg
The valor landed like a mosquito on a bare arm,C:/DataSet/SNLI/ImagesDev\image_199.jpg
The cold petrifies her bones.,C:/DataSet/SNLI/ImagesDev\image_200.jpg
The cold petrifies her bones.,C:/DataSet/SNLI/ImagesDev\image_201.jpg
The cold petrifies her bones.,C:/DataSet/SNLI/ImagesDev\image_202.jpg
The cold petrifies her bones.,C:/DataSet/SNLI/ImagesDev\image_203.jpg
Time flies when you're having fun.,C:/DataSet/SNLI/ImagesDev\image_204.jpg
Time flies when you're having fun.,C:/DataSet/SNLI/ImagesDev\image_205.jpg
Time flies when you're having fun.,C:/DataSet/SNLI/ImagesDev\image_206.jpg
Time flies when you're having fun.,C:/DataSet/SNLI/ImagesDev\image_207.jpg
He was so happy he felt his heart was exploding,C:/DataSet/SNLI/ImagesDev\image_208.jpg
He was so happy he felt his heart was exploding,C:/DataSet/SNLI/ImagesDev\image_209.jpg
He was so happy he felt his heart was exploding,C:/DataSet/SNLI/ImagesDev\image_210.jpg
He was so happy he felt his heart was exploding,C:/DataSet/SNLI/ImagesDev\image_211.jpg
He was so happy he felt his heart was exploding,C:/DataSet/SNLI/ImagesDev\image_212.jpg
He was so happy he felt his heart was exploding,C:/DataSet/SNLI/ImagesDev\image_213.jpg
He was so happy he felt his heart was exploding,C:/DataSet/SNLI/ImagesDev\image_214.jpg
He was so happy he felt his heart was exploding,C:/DataSet/SNLI/ImagesDev\image_215.jpg
He was so happy he felt his heart was exploding,C:/DataSet/SNLI/ImagesDev\image_216.jpg
He was so happy he felt his heart was exploding,C:/DataSet/SNLI/ImagesDev\image_217.jpg
He was so happy he felt his heart was exploding,C:/DataSet/SNLI/ImagesDev\image_218.jpg
He was so happy he felt his heart was exploding,C:/DataSet/SNLI/ImagesDev\image_219.jpg
He was so happy he felt his heart was exploding,C:/DataSet/SNLI/ImagesDev\image_220.jpg
He was so happy he felt his heart was exploding,C:/DataSet/SNLI/ImagesDev\image_221.jpg
He was so happy he felt his heart was exploding,C:/DataSet/SNLI/ImagesDev\image_222.jpg
He was so happy he felt his heart was exploding,C:/DataSet/SNLI/ImagesDev\image_223.jpg
I'm like a drug user being searched.,C:/DataSet/SNLI/ImagesDev\image_224.jpg
I'm like a drug user being searched.,C:/DataSet/SNLI/ImagesDev\image_225.jpg
I'm like a drug user being searched.,C:/DataSet/SNLI/ImagesDev\image_226.jpg
I'm like a drug user being searched.,C:/DataSet/SNLI/ImagesDev\image_227.jpg
I was in a very stormy relationship,C:/DataSet/SNLI/ImagesDev\image_228.jpg
I was in a very stormy relationship,C:/DataSet/SNLI/ImagesDev\image_229.jpg
I was in a very stormy relationship,C:/DataSet/SNLI/ImagesDev\image_230.jpg
I was in a very stormy relationship,C:/DataSet/SNLI/ImagesDev\image_231.jpg
I was in a very stormy relationship,C:/DataSet/SNLI/ImagesDev\image_232.jpg
I was in a very stormy relationship,C:/DataSet/SNLI/ImagesDev\image_233.jpg
I was in a very stormy relationship,C:/DataSet/SNLI/ImagesDev\image_234.jpg
I was in a very stormy relationship,C:/DataSet/SNLI/ImagesDev\image_235.jpg
"I looked down at him, and he smiled at me like an angel.",C:/DataSet/SNLI/ImagesDev\image_236.jpg
"I looked down at him, and he smiled at me like an angel.",C:/DataSet/SNLI/ImagesDev\image_237.jpg
"I looked down at him, and he smiled at me like an angel.",C:/DataSet/SNLI/ImagesDev\image_238.jpg
"I looked down at him, and he smiled at me like an angel.",C:/DataSet/SNLI/ImagesDev\image_239.jpg
some peaks of demand can be dealt with by external consultants.,C:/DataSet/SNLI/ImagesDev\image_240.jpg
some peaks of demand can be dealt with by external consultants.,C:/DataSet/SNLI/ImagesDev\image_241.jpg
some peaks of demand can be dealt with by external consultants.,C:/DataSet/SNLI/ImagesDev\image_242.jpg
some peaks of demand can be dealt with by external consultants.,C:/DataSet/SNLI/ImagesDev\image_243.jpg
Trying to rationalize the situation eventually becomes like an ever-complicated equation.,C:/DataSet/SNLI/ImagesDev\image_244.jpg
Trying to rationalize the situation eventually becomes like an ever-complicated equation.,C:/DataSet/SNLI/ImagesDev\image_245.jpg
Trying to rationalize the situation eventually becomes like an ever-complicated equation.,C:/DataSet/SNLI/ImagesDev\image_246.jpg
Trying to rationalize the situation eventually becomes like an ever-complicated equation.,C:/DataSet/SNLI/ImagesDev\image_247.jpg
The changing of the guard was like a well-oiled clock .,C:/DataSet/SNLI/ImagesDev\image_248.jpg
The changing of the guard was like a well-oiled clock .,C:/DataSet/SNLI/ImagesDev\image_249.jpg
The changing of the guard was like a well-oiled clock .,C:/DataSet/SNLI/ImagesDev\image_250.jpg
The changing of the guard was like a well-oiled clock .,C:/DataSet/SNLI/ImagesDev\image_251.jpg
The dish is as tasty as a pair of gym shorts,C:/DataSet/SNLI/ImagesDev\image_252.jpg
The dish is as tasty as a pair of gym shorts,C:/DataSet/SNLI/ImagesDev\image_253.jpg
I had already planted the idea in her mind.,C:/DataSet/SNLI/ImagesDev\image_254.jpg
I had already planted the idea in her mind.,C:/DataSet/SNLI/ImagesDev\image_255.jpg
I had already planted the idea in her mind.,C:/DataSet/SNLI/ImagesDev\image_256.jpg
He pulls a giant disc out and flashes it like a knockoff rolex .,C:/DataSet/SNLI/ImagesDev\image_257.jpg
He pulls a giant disc out and flashes it like a knockoff rolex .,C:/DataSet/SNLI/ImagesDev\image_258.jpg
"A whirling vortex surrounded her, but within the vortex she was like a buddhist garden.",C:/DataSet/SNLI/ImagesDev\image_259.jpg
"A whirling vortex surrounded her, but within the vortex she was like a buddhist garden.",C:/DataSet/SNLI/ImagesDev\image_260.jpg
"A whirling vortex surrounded her, but within the vortex she was like a buddhist garden.",C:/DataSet/SNLI/ImagesDev\image_261.jpg
"A whirling vortex surrounded her, but within the vortex she was like a buddhist garden.",C:/DataSet/SNLI/ImagesDev\image_262.jpg
"It was a moonless nights, the air was still and the crickets were like living shadows.",C:/DataSet/SNLI/ImagesDev\image_263.jpg
"It was a moonless nights, the air was still and the crickets were like living shadows.",C:/DataSet/SNLI/ImagesDev\image_264.jpg
"It was a moonless nights, the air was still and the crickets were like living shadows.",C:/DataSet/SNLI/ImagesDev\image_265.jpg
I have to kill the program.,C:/DataSet/SNLI/ImagesDev\image_266.jpg
I have to kill the program.,C:/DataSet/SNLI/ImagesDev\image_267.jpg
I have to kill the program.,C:/DataSet/SNLI/ImagesDev\image_268.jpg
The politician toppled his rival.,C:/DataSet/SNLI/ImagesDev\image_269.jpg
The politician toppled his rival.,C:/DataSet/SNLI/ImagesDev\image_270.jpg
you're just like a ninja .,C:/DataSet/SNLI/ImagesDev\image_271.jpg
you're just like a ninja .,C:/DataSet/SNLI/ImagesDev\image_272.jpg
you're just like a ninja .,C:/DataSet/SNLI/ImagesDev\image_273.jpg
you're just like a ninja .,C:/DataSet/SNLI/ImagesDev\image_274.jpg
Horses possess a sunny disposition and much natural charm.,C:/DataSet/SNLI/ImagesDev\image_275.jpg
Horses possess a sunny disposition and much natural charm.,C:/DataSet/SNLI/ImagesDev\image_276.jpg
Horses possess a sunny disposition and much natural charm.,C:/DataSet/SNLI/ImagesDev\image_277.jpg
Horses possess a sunny disposition and much natural charm.,C:/DataSet/SNLI/ImagesDev\image_278.jpg
Horses possess a sunny disposition and much natural charm.,C:/DataSet/SNLI/ImagesDev\image_279.jpg
Horses possess a sunny disposition and much natural charm.,C:/DataSet/SNLI/ImagesDev\image_280.jpg
Horses possess a sunny disposition and much natural charm.,C:/DataSet/SNLI/ImagesDev\image_281.jpg
Horses possess a sunny disposition and much natural charm.,C:/DataSet/SNLI/ImagesDev\image_282.jpg
Horses possess a sunny disposition and much natural charm.,C:/DataSet/SNLI/ImagesDev\image_283.jpg
Horses possess a sunny disposition and much natural charm.,C:/DataSet/SNLI/ImagesDev\image_284.jpg
Horses possess a sunny disposition and much natural charm.,C:/DataSet/SNLI/ImagesDev\image_285.jpg
Horses possess a sunny disposition and much natural charm.,C:/DataSet/SNLI/ImagesDev\image_286.jpg
I battled with this decision for years.,C:/DataSet/SNLI/ImagesDev\image_287.jpg
I battled with this decision for years.,C:/DataSet/SNLI/ImagesDev\image_288.jpg
I battled with this decision for years.,C:/DataSet/SNLI/ImagesDev\image_289.jpg
I battled with this decision for years.,C:/DataSet/SNLI/ImagesDev\image_290.jpg
The daily routines and private family concerns of which he had once been part now felt like an old and once treasured toy that makes you smile when you find it in the back of a drawer.,C:/DataSet/SNLI/ImagesDev\image_291.jpg
The daily routines and private family concerns of which he had once been part now felt like an old and once treasured toy that makes you smile when you find it in the back of a drawer.,C:/DataSet/SNLI/ImagesDev\image_292.jpg
The daily routines and private family concerns of which he had once been part now felt like an old and once treasured toy that makes you smile when you find it in the back of a drawer.,C:/DataSet/SNLI/ImagesDev\image_293.jpg
The daily routines and private family concerns of which he had once been part now felt like an old and once treasured toy that makes you smile when you find it in the back of a drawer.,C:/DataSet/SNLI/ImagesDev\image_294.jpg
The event carved  itself into her memory.,C:/DataSet/SNLI/ImagesDev\image_295.jpg
The event carved  itself into her memory.,C:/DataSet/SNLI/ImagesDev\image_296.jpg
The event carved  itself into her memory.,C:/DataSet/SNLI/ImagesDev\image_297.jpg
The candle flame shivered in the dark.,C:/DataSet/SNLI/ImagesDev\image_298.jpg
